gene_id	description
Def2	defensin 2
Dl	dorsal
Dll	distal-less
Dnmt1a	DNA methyltransferase 1a
Dnmt3	DNA methyltransferase 3
Dop1	"dopamine receptor, D1"
Dop3	D2-like dopamine receptor
DopR2	dopamine receptor 2
Dscam	Down syndrome cell adhesion molecule
Dsx	doublesex
E74	ecdysteroid-regulated gene E74
E75	ecdysone-induced protein 75
EF1a-F2	elongation factor 1-alpha F2
Eaat-2	excitatory amino acid transporter 2
Ecr	ecdysone receptor
Ef-1a-f1	translation elongation factor eEF-1 alpha chain
Eif3h	"eukaryotic translation initiation factor 3, subunit H"
Eif4g	eukaryotic translation initiation factor 4 gamma
Emc	extra macrochaetae
EphR	Eph receptor tyrosine kinase
Err	estrogen-related receptor
Est-6	venom carboxylesterase-6
Eth	ecdysis triggering hormone
Ets97D-like	Ets at 97D ortholog
Eyg	eyegone
FAR1	fatty acyl-CoA reductase 1
Fabp	FABP-like protein
Fem	feminizer
Fibroin1	silk fibroin 1
Fibroin2	silk fibroin 2
Fibroin3	silk fibroin 3
Fibroin4	silk fibroin 4
For	cGMP-dependent protein kinase foraging
Foxp	FoxP protein
Fstl5	follistatin-like 5
Gat-1B	GABA neurotransmitter transporter-1B
Gat-a	GABA neurotransmitter transporter-1A
Gb15078	GB15078 protein
Gfat2	glucosamine-fructose-6-phosphate aminotransferase 2
GlnS	glutamine synthetase
Glob1	globin 1
GluCl	glutamate-gated chloride channel
Glurb	metabotropic glutamate receptor B
Gpdh	glycerol-3-phosphate dehydrogenase
Gr10	gustatory receptor 10
Grd	GABA-gated ion channel
Grp	glycine-rich cuticle protein
GstD1	glutathione S-transferase D1
GstS1	glutathione S-transferase S1
GstS4	glutathione S-transferase S4
Gstcd	"glutathione S-transferase, C-terminal domain containing"
Gtpx1	glutathione peroxidase-like 1
Gycbeta1	"guanylate cyclase, soluble, beta 1"
H	hairless
HEX70b	hexamerin 70b
Hb	hunchback
Hbg2	alpha-glucosidase
Hbg3	alpha-glucosidase
Hex110	hexamerin 110
Hex70a	hexamerin 70a
Hex70c	hexamerin 70c
Hiscl1	histamine-gated chloride channel 1
Ho	heme oxygenase
Hsc70-3	heat shock 70 kDa protein cognate 3
Hsc70-4	heat shock protein cognate 4
Hsc70-5	heat shock protein cognate 5
Hsp90	heat shock protein 90
IF-2mt	translation initiation factor 2
ILP-2	insulin-like peptide 2
INTS8	integrator complex subunit 8
Imd	immune deficiency
InR-2	insulin-like receptor-like
Ing3	"inhibitor of growth family, member 3"
Ip3k	"inositol 1,4,5-triphosphate kinase"
JHBP-1	take-out-like carrier protein
Jhe	juvenile hormone esterase
Jtb	jumping translocation breakpoint protein
KAT2A	K(lysine) acetyltransferase 2A
Kakusei	kakusei non-coding nuclear RNA
Kr	krueppel
Kr-h1	kruppel homolog 1
Ks-1	Ks-1 non-coding nuclear RNA
LCCH3	ligand-gated chloride channel homolog 3
LOC100187599	uncharacterized LOC100187599
LOC100188904	uncharacterized LOC100188904
LOC100188940	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
LOC100217360	uncharacterized LOC100217360
LOC100302106	uncharacterized LOC100302106
LOC100379261	uncharacterized LOC100379261
LOC100576080	uncharacterized LOC100576080
LOC100576082	uncharacterized LOC100576082
LOC100576085	ras-related protein Rab-8A
LOC100576087	histone-lysine N-methyltransferase SETMAR-like
LOC100576088	"28S ribosomal protein S23, mitochondrial"
LOC100576093	uncharacterized LOC100576093
LOC100576096	"myosin heavy chain, non-muscle-like"
LOC100576097	glutamate receptor U1-like
LOC100576098	F-box only protein 7-like
LOC100576099	carbohydrate sulfotransferase 11-like
LOC100576100	protein phosphatase 1 regulatory subunit 42-like
LOC100576101	coiled-coil domain-containing protein 61-like
LOC100576103	uncharacterized LOC100576103
LOC100576104	INO80 complex subunit B
LOC100576105	uncharacterized LOC100576105
LOC100576106	uncharacterized protein DDB_G0292186-like
LOC100576108	uncharacterized LOC100576108
LOC100576110	zinc finger protein GLI4-like
LOC100576115	carbonic anhydrase 2-like
LOC100576116	protein inscuteable homolog
LOC100576118	uncharacterized LOC100576118
LOC100576120	uncharacterized LOC100576120
LOC100576121	protein NDNF
LOC100576122	uncharacterized LOC100576122
LOC100576125	nucleoporin NDC1
LOC100576126	uncharacterized LOC100576126
LOC100576128	cilia- and flagella-associated protein 100-like
LOC100576129	uncharacterized LOC100576129
LOC100576130	diuretic hormone 44
LOC100576131	zinc finger protein 267-like
LOC100576132	uncharacterized LOC100576132
LOC100576134	uncharacterized LOC100576134
LOC100576135	uncharacterized LOC100576135
LOC100576136	zinc finger BED domain-containing protein 1-like
LOC100576137	uncharacterized LOC100576137
LOC100576139	uncharacterized LOC100576139
LOC100576140	uncharacterized LOC100576140
LOC100576143	HAUS augmin-like complex subunit 3
LOC100576145	adenylyl cyclase-associated protein 1-like
LOC100576146	aladin-like
LOC100576147	fork head domain-containing protein FD4
LOC100576149	uncharacterized LOC100576149
LOC100576150	MYCBP-associated protein-like
LOC100576151	STAGA complex 65 subunit gamma-like
LOC100576152	uncharacterized LOC100576152
LOC100576153	odorant receptor 13a-like
LOC100576155	uncharacterized LOC100576155
LOC100576156	beta-TrCP-like
LOC100576157	uncharacterized LOC100576157
LOC100576159	uncharacterized LOC100576159
LOC100576161	uncharacterized LOC100576161
LOC100576162	uncharacterized protein PF11_0213-like
LOC100576163	short neuropeptide F-like
LOC100576164	uncharacterized LOC100576164
LOC100576165	uncharacterized LOC100576165
LOC100576167	gustatory and pheromone receptor 32a-like
LOC100576168	uncharacterized LOC100576168
LOC100576169	uncharacterized LOC100576169
LOC100576170	mucin-1-like
LOC100576171	bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like
LOC100576172	uncharacterized LOC100576172
LOC100576173	uncharacterized LOC100576173
LOC100576174	uncharacterized LOC100576174
LOC100576176	uncharacterized LOC100576176
LOC100576179	cilia- and flagella-associated protein 43-like
LOC100576182	pupal cuticle protein G1A-like
LOC100576183	uncharacterized LOC100576183
LOC100576184	uncharacterized LOC100576184
LOC100576185	uncharacterized LOC100576185
LOC100576186	"alanine--glyoxylate aminotransferase 2, mitochondrial"
LOC100576187	E3 ubiquitin-protein ligase AMFR-like
LOC100576188	filamin-B-like
LOC100576189	uncharacterized LOC100576189
LOC100576192	uncharacterized LOC100576192
LOC100576193	keratinocyte proline-rich protein-like
LOC100576194	forkhead box protein J1-B-like
LOC100576195	protein ccsmst1
LOC100576196	uncharacterized LOC100576196
LOC100576198	bromodomain-containing protein DDB_G0270170-like
LOC100576199	uncharacterized LOC100576199
LOC100576207	uncharacterized LOC100576207
LOC100576211	uncharacterized LOC100576211
LOC100576212	odorant receptor 13a-like
LOC100576213	lymphocyte cytosolic protein 2-like
LOC100576215	pancreas transcription factor 1 subunit alpha
LOC100576216	zinc finger protein 1 homolog
LOC100576217	adenylate cyclase type 10-like
LOC100576220	homeobox protein rough-like
LOC100576221	zinc finger protein 26
LOC100576222	heart- and neural crest derivatives-expressed protein 1
LOC100576223	myb-like protein X
LOC100576224	carbonic anhydrase 2-like
LOC100576225	uncharacterized LOC100576225
LOC100576226	uncharacterized protein C7orf50 homolog
LOC100576227	uncharacterized protein MAL13P1.304-like
LOC100576230	uncharacterized LOC100576230
LOC100576231	uncharacterized LOC100576231
LOC100576232	TNF receptor-associated factor 6-like
LOC100576233	titin-like
LOC100576234	uncharacterized LOC100576234
LOC100576236	uncharacterized LOC100576236
LOC100576242	protein MAATS1-like
LOC100576243	histone-lysine N-methyltransferase SETMAR-like
LOC100576244	aryl-phospho-beta-D-glucosidase BglH-like
LOC100576246	odorant receptor 13a-like
LOC100576247	frizzled 2
LOC100576248	uncharacterized LOC100576248
LOC100576249	uncharacterized LOC100576249
LOC100576251	zinc finger protein 853-like
LOC100576253	DNA ligase 1
LOC100576254	uncharacterized LOC100576254
LOC100576257	uncharacterized LOC100576257
LOC100576258	uncharacterized LOC100576258
LOC100576259	serine/threonine-protein kinase/endoribonuclease IRE1-like
LOC100576260	uncharacterized LOC100576260
LOC100576261	zinc finger protein 569-like
LOC100576262	uncharacterized LOC100576262
LOC100576263	uncharacterized LOC100576263
LOC100576265	centrosomal protein of 112 kDa-like
LOC100576266	uncharacterized LOC100576266
LOC100576270	ribonuclease UK114
LOC100576271	dentin sialophosphoprotein-like
LOC100576272	tRNA-splicing endonuclease subunit Sen34
LOC100576273	putative uncharacterized protein DDB_G0282133
LOC100576274	zinc finger protein 32
LOC100576277	uncharacterized LOC100576277
LOC100576279	low-density lipoprotein receptor-related protein 2
LOC100576281	uncharacterized LOC100576281
LOC100576282	odorant receptor Or2-like
LOC100576283	uncharacterized LOC100576283
LOC100576284	uncharacterized LOC100576284
LOC100576287	uncharacterized LOC100576287
LOC100576288	uncharacterized LOC100576288
LOC100576289	uncharacterized LOC100576289
LOC100576290	WD repeat-containing protein 78
LOC100576291	uncharacterized LOC100576291
LOC100576293	zinc finger protein 182
LOC100576296	probable Xaa-Pro aminopeptidase 3
LOC100576297	uncharacterized LOC100576297
LOC100576298	uncharacterized LOC100576298
LOC100576299	uncharacterized LOC100576299
LOC100576300	uncharacterized LOC100576300
LOC100576301	uncharacterized LOC100576301
LOC100576302	uncharacterized LOC100576302
LOC100576304	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
LOC100576307	oocyte zinc finger protein XlCOF8.4-like
LOC100576318	uncharacterized LOC100576318
LOC100576319	uncharacterized LOC100576319
LOC100576320	uncharacterized LOC100576320
LOC100576321	uncharacterized LOC100576321
LOC100576326	trypsin-7
LOC100576330	uncharacterized LOC100576330
LOC100576331	uncharacterized LOC100576331
LOC100576333	nucleoredoxin-like
LOC100576336	uncharacterized LOC100576336
LOC100576337	deleted in autism protein 1 homolog
LOC100576338	uncharacterized LOC100576338
LOC100576346	myb-like protein D
LOC100576348	uncharacterized LOC100576348
LOC100576349	growth arrest-specific protein 1-like
LOC100576350	E3 ubiquitin-protein ligase TRIM37-like
LOC100576351	uncharacterized LOC100576351
LOC100576355	uncharacterized LOC100576355
LOC100576359	integrator complex subunit 11
LOC100576361	uncharacterized protein C1orf194-like
LOC100576366	tRNA-splicing endonuclease subunit Sen2
LOC100576369	ets DNA-binding protein pokkuri
LOC100576370	nucleolar protein 58-like
LOC100576373	chloride channel CLIC-like protein 1
LOC100576374	protein MMS22-like
LOC100576378	uncharacterized LOC100576378
LOC100576380	uncharacterized LOC100576380
LOC100576381	probable basic-leucine zipper transcription factor Q
LOC100576382	uncharacterized LOC100576382
LOC100576383	uncharacterized LOC100576383
LOC100576384	tyrosine-protein phosphatase 10D
LOC100576387	uncharacterized LOC100576387
LOC100576392	transcriptional regulator Myc-B
LOC100576397	uncharacterized LOC100576397
LOC100576400	cilia- and flagella-associated protein 97-like
LOC100576401	uncharacterized LOC100576401
LOC100576402	serine/threonine-protein kinase atr-like
LOC100576403	uncharacterized LOC100576403
LOC100576404	probable helicase with zinc finger domain
LOC100576405	AT-rich interactive domain-containing protein 5B-like
LOC100576410	uncharacterized LOC100576410
LOC100576411	uncharacterized LOC100576411
LOC100576412	E3 ubiquitin-protein ligase RNF8-like
LOC100576413	uncharacterized protein PF11_0213-like
LOC100576414	putative fatty acyl-CoA reductase CG5065
LOC100576417	uncharacterized LOC100576417
LOC100576418	repetitive proline-rich cell wall protein 2-like
LOC100576419	uncharacterized LOC100576419
LOC100576421	uncharacterized LOC100576421
LOC100576422	mitochondrial import inner membrane translocase subunit Tim22
LOC100576423	uncharacterized LOC100576423
LOC100576425	uncharacterized LOC100576425
LOC100576427	uncharacterized LOC100576427
LOC100576428	lateral signaling target protein 2 homolog
LOC100576432	uncharacterized LOC100576432
LOC100576433	protein DENND6A
LOC100576434	protein atonal-like
LOC100576435	shootin-1
LOC100576436	putative ATP-dependent RNA helicase TDRD12
LOC100576438	uncharacterized LOC100576438
LOC100576439	coiled-coil domain-containing protein 40
LOC100576440	probable cytochrome P450 6a17
LOC100576444	chymotrypsin inhibitor
LOC100576445	uncharacterized LOC100576445
LOC100576446	solute carrier family 26 member 6-like
LOC100576447	DNA damage-regulated autophagy modulator protein 2-like
LOC100576449	protein patched
LOC100576452	uncharacterized LOC100576452
LOC100576453	protein cornichon
LOC100576454	protein stum
LOC100576455	uncharacterized LOC100576455
LOC100576456	putative oligopeptide transporter HI_0561
LOC100576457	probable ribosome biogenesis protein RLP24
LOC100576458	urea transporter 2-like
LOC100576460	EF-hand calcium-binding domain-containing protein 1-like
LOC100576461	uncharacterized LOC100576461
LOC100576462	odorant receptor Or1-like
LOC100576466	ATP-dependent DNA helicase Q4
LOC100576467	sex-regulated protein janus-A-like
LOC100576471	uncharacterized LOC100576471
LOC100576472	E3 ubiquitin-protein ligase Su(dx)
LOC100576473	uncharacterized LOC100576473
LOC100576476	UBX domain-containing protein 11-like
LOC100576478	uncharacterized LOC100576478
LOC100576482	centromere protein J
LOC100576484	caspase-1-like
LOC100576487	apoptosis regulatory protein Siva-like
LOC100576488	uncharacterized LOC100576488
LOC100576492	uncharacterized LOC100576492
LOC100576493	uncharacterized LOC100576493
LOC100576497	uncharacterized LOC100576497
LOC100576498	uncharacterized LOC100576498
LOC100576502	tripartite motif-containing protein 45-like
LOC100576503	uncharacterized LOC100576503
LOC100576504	uncharacterized LOC100576504
LOC100576505	uncharacterized LOC100576505
LOC100576506	uncharacterized LOC100576506
LOC100576508	uronyl 2-sulfotransferase-like
LOC100576512	U8-agatoxin-Ao1a-like
LOC100576513	uncharacterized LOC100576513
LOC100576514	protein TBRG4
LOC100576515	protein KRTCAP2 homolog
LOC100576517	uncharacterized LOC100576517
LOC100576519	TLD domain-containing protein 1
LOC100576520	uncharacterized LOC100576520
LOC100576522	odorant receptor 13a-like
LOC100576524	transmembrane protein 94-like
LOC100576525	protein VdlD-like
LOC100576527	cyclic AMP-dependent transcription factor ATF-2
LOC100576528	uncharacterized LOC100576528
LOC100576529	uncharacterized LOC100576529
LOC100576530	uncharacterized LOC100576530
LOC100576531	RNA pseudouridylate synthase domain-containing protein 1-like
LOC100576532	uncharacterized LOC100576532
LOC100576534	zinc finger protein 580-like
LOC100576535	uncharacterized LOC100576535
LOC100576536	uncharacterized LOC100576536
LOC100576537	uncharacterized LOC100576537
LOC100576540	vacuolar protein sorting-associated protein 27-like
LOC100576542	uncharacterized LOC100576542
LOC100576543	steroid receptor RNA activator 1-like
LOC100576544	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5
LOC100576546	uncharacterized LOC100576546
LOC100576547	"glucose dehydrogenase [FAD, quinone]-like"
LOC100576549	uncharacterized LOC100576549
LOC100576552	uncharacterized LOC100576552
LOC100576554	cilia- and flagella-associated protein 69-like
LOC100576555	cytochrome b561 domain-containing protein 2-like
LOC100576557	uncharacterized LOC100576557
LOC100576559	uncharacterized LOC100576559
LOC100576562	nuclear envelope integral membrane protein 1-like
LOC100576563	growth factor receptor-bound protein 14-like
LOC100576564	uncharacterized LOC100576564
LOC100576565	zinc finger protein 511
LOC100576568	uncharacterized LOC100576568
LOC100576569	uncharacterized LOC100576569
LOC100576571	uncharacterized LOC100576571
LOC100576572	serine/threonine-protein kinase RIO1
LOC100576573	uncharacterized LOC100576573
LOC100576576	uncharacterized LOC100576576
LOC100576577	oligopeptide transport ATP-binding protein OppD-like
LOC100576584	leucine-rich repeat-containing protein 74B-like
LOC100576585	uncharacterized LOC100576585
LOC100576586	transcriptional repressor CTCFL-like
LOC100576590	cilia- and flagella-associated protein 69-like
LOC100576591	putative uncharacterized protein DDB_G0277255
LOC100576592	uncharacterized LOC100576592
LOC100576593	uncharacterized LOC100576593
LOC100576597	uncharacterized LOC100576597
LOC100576599	uncharacterized LOC100576599
LOC100576600	zinc finger protein 345-like
LOC100576601	U3 small nucleolar RNA-associated protein 18 homolog
LOC100576602	uncharacterized LOC100576602
LOC100576603	uncharacterized LOC100576603
LOC100576606	MATH and LRR domain-containing protein PFE0570w-like
LOC100576608	early endosome antigen 1
LOC100576609	uncharacterized LOC100576609
LOC100576610	mitochondrial ribonuclease P protein 3
LOC100576612	vacuolar protein sorting-associated protein 55 homolog
LOC100576614	probable ATP-dependent RNA helicase ddx42
LOC100576615	uncharacterized LOC100576615
LOC100576617	uncharacterized LOC100576617
LOC100576618	RING finger protein unkempt-like
LOC100576619	CUE domain-containing protein 2
LOC100576620	pre-mRNA-splicing factor 38B
LOC100576621	thyroid transcription factor 1-associated protein 26 homolog
LOC100576623	piggyBac transposable element-derived protein 4-like
LOC100576625	uncharacterized LOC100576625
LOC100576626	uncharacterized LOC100576626
LOC100576627	uncharacterized LOC100576627
LOC100576629	uncharacterized LOC100576629
LOC100576630	uncharacterized LOC100576630
LOC100576631	uncharacterized LOC100576631
LOC100576637	trypsin 5G1-like
LOC100576638	uncharacterized LOC100576638
LOC100576640	uncharacterized LOC100576640
LOC100576641	uncharacterized LOC100576641
LOC100576644	uncharacterized LOC100576644
LOC100576645	probable serine/threonine-protein kinase DDB_G0276461
LOC100576646	"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
LOC100576647	separin
LOC100576649	mismatch repair endonuclease PMS2
LOC100576650	uncharacterized LOC100576650
LOC100576657	uncharacterized LOC100576657
LOC100576660	FAD synthase-like
LOC100576661	uncharacterized LOC100576661
LOC100576662	uncharacterized LOC100576662
LOC100576663	"39S ribosomal protein L39, mitochondrial"
LOC100576666	uncharacterized LOC100576666
LOC100576667	E3 ubiquitin-protein ligase synoviolin A
LOC100576669	"ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like"
LOC100576671	polycomb group protein Psc-like
LOC100576677	DNA repair protein RAD51 homolog 4
LOC100576679	uncharacterized LOC100576679
LOC100576680	uncharacterized LOC100576680
LOC100576683	uncharacterized LOC100576683
LOC100576687	uncharacterized LOC100576687
LOC100576688	"histone H1, gonadal-like"
LOC100576689	uncharacterized LOC100576689
LOC100576690	negative elongation factor E-like
LOC100576694	uncharacterized LOC100576694
LOC100576696	uncharacterized LOC100576696
LOC100576697	uncharacterized LOC100576697
LOC100576698	uncharacterized LOC100576698
LOC100576699	uncharacterized LOC100576699
LOC100576700	class A basic helix-loop-helix protein 15-like
LOC100576702	uncharacterized LOC100576702
LOC100576703	sarcalumenin
LOC100576705	uncharacterized LOC100576705
LOC100576706	peptidyl-prolyl cis-trans isomerase D
LOC100576708	uncharacterized LOC100576708
LOC100576709	mitogen-activated protein kinase-binding protein 1
LOC100576715	uncharacterized LOC100576715
LOC100576717	restin homolog
LOC100576718	uncharacterized LOC100576718
LOC100576719	testis-specific gene 10 protein-like
LOC100576721	vacuolar protein sorting-associated protein 33A-like
LOC100576722	uncharacterized LOC100576722
LOC100576726	uncharacterized LOC100576726
LOC100576730	uncharacterized LOC100576730
LOC100576732	uncharacterized LOC100576732
LOC100576733	uncharacterized LOC100576733
LOC100576734	odorant receptor 13a-like
LOC100576735	peroxisomal membrane protein 11C
LOC100576736	uncharacterized LOC100576736
LOC100576737	uncharacterized LOC100576737
LOC100576738	uncharacterized LOC100576738
LOC100576740	uncharacterized LOC100576740
LOC100576741	uncharacterized LOC100576741
LOC100576742	integrin beta-nu-like
LOC100576744	uncharacterized LOC100576744
LOC100576745	leucine-rich repeat-containing protein 26-like
LOC100576746	uncharacterized LOC100576746
LOC100576747	maternal protein tudor
LOC100576748	uncharacterized LOC100576748
LOC100576750	uncharacterized LOC100576750
LOC100576752	uncharacterized LOC100576752
LOC100576754	uncharacterized LOC100576754
LOC100576755	uncharacterized LOC100576755
LOC100576758	uncharacterized LOC100576758
LOC100576759	uncharacterized LOC100576759
LOC100576760	uncharacterized LOC100576760
LOC100576761	protein Spindly
LOC100576762	uncharacterized LOC100576762
LOC100576765	uncharacterized LOC100576765
LOC100576767	uncharacterized LOC100576767
LOC100576768	nuclear cap-binding protein subunit 3-like
LOC100576769	uncharacterized LOC100576769
LOC100576770	serine hydrolase-like protein 2
LOC100576772	uncharacterized LOC100576772
LOC100576773	epidermal retinol dehydrogenase 2-like
LOC100576774	uncharacterized LOC100576774
LOC100576775	nucleolar MIF4G domain-containing protein 1 homolog
LOC100576779	uncharacterized LOC100576779
LOC100576781	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC100576783	odorant receptor 22c-like
LOC100576784	high mobility group B protein 6-like
LOC100576789	leucine-rich repeat protein SHOC-2-like
LOC100576794	pre-mRNA-splicing factor 38A
LOC100576795	uncharacterized protein YJR142W
LOC100576796	uncharacterized LOC100576796
LOC100576797	acyl-CoA Delta(11) desaturase
LOC100576799	uncharacterized LOC100576799
LOC100576801	"malate dehydrogenase, cytoplasmic-like"
LOC100576803	uncharacterized LOC100576803
LOC100576805	chromatin assembly factor 1 subunit A-B
LOC100576807	uncharacterized LOC100576807
LOC100576808	uncharacterized LOC100576808
LOC100576811	harmonin-like
LOC100576812	uncharacterized LOC100576812
LOC100576813	uncharacterized LOC100576813
LOC100576814	uncharacterized LOC100576814
LOC100576816	odorant receptor 4-like
LOC100576817	zinc finger and BTB domain-containing protein 41
LOC100576818	dolichyl-phosphate beta-glucosyltransferase
LOC100576819	caspase Dronc
LOC100576820	uncharacterized LOC100576820
LOC100576825	uncharacterized LOC100576825
LOC100576826	tetraspan membrane protein of hair cell stereocilia homolog
LOC100576828	protein maelstrom homolog
LOC100576829	serine/arginine repetitive matrix protein 2-like
LOC100576830	uncharacterized LOC100576830
LOC100576831	protein lifeguard 2-like
LOC100576833	uncharacterized LOC100576833
LOC100576834	uncharacterized LOC100576834
LOC100576835	uncharacterized LOC100576835
LOC100576836	uncharacterized LOC100576836
LOC100576837	S-adenosylmethionine decarboxylase proenzyme-like
LOC100576838	anionic trypsin-2
LOC100576839	uncharacterized LOC100576839
LOC100576840	uncharacterized LOC100576840
LOC100576841	uncharacterized LOC100576841
LOC100576843	inner centromere protein
LOC100576847	cytochrome c oxidase subunit 6B1-like
LOC100576848	ribosomal biogenesis protein LAS1L
LOC100576849	transcription factor egl-13-like
LOC100576850	RNA 3'-terminal phosphate cyclase-like protein
LOC100576851	ornithine decarboxylase antizyme 1
LOC100576853	uncharacterized LOC100576853
LOC100576855	uncharacterized LOC100576855
LOC100576859	cilia- and flagella-associated protein 36
LOC100576862	speckle targeted PIP5K1A-regulated poly(A) polymerase-like
LOC100576863	uncharacterized LOC100576863
LOC100576864	myosin-2 heavy chain
LOC100576866	probable elongator complex protein 3
LOC100576868	uncharacterized LOC100576868
LOC100576871	probable serine/threonine-protein kinase ndrD
LOC100576872	cell cycle checkpoint control protein RAD9A
LOC100576876	uncharacterized LOC100576876
LOC100576878	uncharacterized LOC100576878
LOC100576879	DEP domain-containing protein 5
LOC100576880	uncharacterized LOC100576880
LOC100576881	uncharacterized LOC100576881
LOC100576882	uncharacterized LOC100576882
LOC100576885	GRIP and coiled-coil domain-containing protein PFC0235w
LOC100576886	uncharacterized LOC100576886
LOC100576891	uncharacterized LOC100576891
LOC100576894	laminin subunit beta-2-like
LOC100576895	putative fatty acyl-CoA reductase CG5065
LOC100576896	uncharacterized LOC100576896
LOC100576898	esterase GA18864
LOC100576901	cGMP-dependent protein kinase 1-like
LOC100576902	uncharacterized LOC100576902
LOC100576903	leucine-rich repeat-containing protein 15-like
LOC100576908	polycomb protein Asx
LOC100576910	twitching mobility protein-like
LOC100576912	cyclic AMP response element-binding protein A
LOC100576913	uncharacterized LOC100576913
LOC100576914	odorant receptor 82a-like
LOC100576915	asparagine-rich protein
LOC100576916	cuticle protein 18.7-like
LOC100576918	uncharacterized LOC100576918
LOC100576919	uncharacterized LOC100576919
LOC100576923	uncharacterized LOC100576923
LOC100576924	ankyrin repeat and death domain-containing protein 1A-like
LOC100576925	uncharacterized LOC100576925
LOC100576929	uncharacterized LOC100576929
LOC100576930	uncharacterized LOC100576930
LOC100576932	uncharacterized LOC100576932
LOC100576934	uncharacterized LOC100576934
LOC100576935	uncharacterized LOC100576935
LOC100576936	uncharacterized LOC100576936
LOC100576938	centromere protein L-like
LOC100576939	probable microcin-H47 secretion/processing ATP-binding protein MchF
LOC100576940	odorant receptor 4-like
LOC100576944	odorant receptor 82a-like
LOC100576945	uncharacterized LOC100576945
LOC100576947	protein hold'em
LOC100576948	uncharacterized LOC100576948
LOC100576949	uncharacterized LOC100576949
LOC100576951	uncharacterized LOC100576951
LOC100576953	adenylate kinase 8
LOC100576956	metalloproteinase inhibitor 3
LOC100576957	UPF0544 protein C5orf45
LOC100576958	WD repeat-containing protein 81
LOC100576960	"DNA polymerase subunit gamma-2, mitochondrial"
LOC100576961	uncharacterized LOC100576961
LOC100576963	zinc finger and BTB domain-containing protein 14-like
LOC100576964	uncharacterized LOC100576964
LOC100576965	uncharacterized LOC100576965
LOC100576966	trichohyalin-like
LOC100576967	histone deacetylase complex subunit SAP18
LOC100576968	merlin
LOC100576969	uncharacterized LOC100576969
LOC100576972	uncharacterized LOC100576972
